taxid	amp_mic	amp_int	amp_cat
EC112_contigs	>=64	64.0-Inf	R
EC119_contigs	>=64	64.0-Inf	R
EC143_contigs	>=64	64.0-Inf	R
EC153_contigs	>=64	64.0-Inf	R
EC15_contigs	>=64	64.0-Inf	R
EC16_contigs	>=64	64.0-Inf	R
EC174_contigs	<=4	0-4.0	S
EC17_contigs	>=64	64.0-Inf	R
EC19_contigs	>=64	64.0-Inf	R
EC21_contigs	>=64	64.0-Inf	R
EC223_contigs	>=64	64.0-Inf	R
EC227_contigs	>=64	64.0-Inf	R
EC26_contigs	>=64	64.0-Inf	R
EC30_contigs	>=64	64.0-Inf	R
EC31_contigs	>=64	64.0-Inf	R
EC34_contigs	>=64	64.0-Inf	R
EC36_contigs	>=64	64.0-Inf	R
EC53_contigs	>=64	64.0-Inf	R
EC68_contigs	>=64	64.0-Inf	R
EC72_contigs	>=64	64.0-Inf	R
EC73_contigs	>=64	64.0-Inf	R
EC75_contigs	>=64	64.0-Inf	R
EC76_contigs	>=64	64.0-Inf	R
EC90_contigs	>=64	64.0-Inf	R
EC9_contigs	>=64	64.0-Inf	R
