taxid	gen_mic	gen_int	gen_cat
EC112_contigs	<=2	0-2.0	S
EC119_contigs	<=2	0-2.0	S
EC143_contigs	<=2	0-2.0	S
EC153_contigs	<=2	0-2.0	S
EC15_contigs	<=2	0-2.0	S
EC16_contigs	<=2	0-2.0	S
EC174_contigs	<=2	0-2.0	S
EC17_contigs	>=32	32.0-Inf	R
EC19_contigs	>=32	32.0-Inf	R
EC21_contigs	16	16.0-16.0	R
EC223_contigs	>=32	32.0-Inf	R
EC227_contigs	16	16.0-16.0	R
EC26_contigs	>=32	32.0-Inf	R
EC30_contigs	<=2	0-2.0	S
EC31_contigs	>=32	32.0-Inf	R
EC34_contigs	>=32	32.0-Inf	R
EC36_contigs	<=2	0-2.0	S
EC53_contigs	<=2	0-2.0	S
EC68_contigs	>=32	32.0-Inf	R
EC72_contigs	>=32	32.0-Inf	R
EC73_contigs	>=32	32.0-Inf	R
EC75_contigs	<=2	0-2.0	S
EC76_contigs	>=32	32.0-Inf	R
EC90_contigs	>=32	32.0-Inf	R
EC9_contigs	<=2	0-2.0	S
